Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382027411075300,1730382026079481271,1331594029
1730382027421750600,1730382026089749211,1332001389
1730382027431309800,1730382026099921832,1331387968
1730382027441819100,1730382026110056257,1331762843
1730382027451578800,1730382026120197025,1331381775
1730382027461610500,1730382026130314087,1331296413
1730382027471998000,1730382026140429342,1331568658
1730382027482491800,1730382026150543443,1331948357
1730382027491976100,1730382026160659927,1331316173
1730382027502979900,1730382026170786795,1332193105
1730382027512826200,1730382026180904710,1331921490
1730382027522843000,1730382026191026125,1331816875
1730382027532965000,1730382026201139463,1331825537
1730382027542999500,1730382026211253217,1331746283
1730382027553513400,1730382026221366699,1332146701
1730382027563030600,1730382026231482949,1331547651
1730382027573545200,1730382026241623152,1331922048
1730382027583543500,1730382026251749734,1331793766
1730382027593542900,1730382026261862245,1331680655
1730382027603557700,1730382026271973742,1331583958
1730382027613940800,1730382026282085344,1331855456
1730382027623942400,1730382026292199299,1331743101
1730382027634361800,1730382026302311641,1332050159
1730382027643780100,1730382026312424912,1331355188
1730382027654562600,1730382026322536708,1332025892
1730382027664423900,1730382026332648000,1331775900
1730382027674763200,1730382026342762612,1332000588
1730382027684843100,1730382026352876600,1331966500
1730382027694340100,1730382026363013354,1331326746
1730382027704373800,1730382026373124848,1331248952
1730382027715000700,1730382026383236484,1331764216
1730382027725089500,1730382026393348262,1331741238
1730382027734881000,1730382026403460912,1331420088
1730382027744879600,1730382026413571663,1331307937
1730382027754877700,1730382026423682636,1331195064
1730382027764873500,1730382026433797907,1331075593
1730382027775459300,1730382026443940478,1331518822
1730382027785460700,1730382026454051996,1331408704
1730382027796022600,1730382026464163915,1331858685
1730382027806019000,1730382026474274744,1331744256
1730382027816030500,1730382026484393512,1331636988
1730382027826025500,1730382026494521826,1331503674
1730382027836541000,1730382026504633156,1331907844
1730382027846541200,1730382026514744725,1331796475
1730382027856690300,1730382026524855439,1331834861
1730382027866687100,1730382026534966265,1331720835
1730382027876690500,1730382026545077386,1331613114
1730382027886684200,1730382026555190908,1331493292
1730382027896684500,1730382026565301505,1331382995
1730382027906680800,1730382026575412460,1331268340
1730382027917092800,1730382026585523901,1331568899
1730382027927602000,1730382026595635429,1331966571
1730382027937211600,1730382026605745882,1331465718
1730382027947531500,1730382026615857412,1331674088
1730382027957228200,1730382026625968710,1331259490
1730382027967083400,1730382026636102808,1330980592
1730382027977136000,1730382026646233097,1330902903
1730382027987716900,1730382026656345008,1331371892
1730382027998030500,1730382026666457090,1331573410
1730382028007680000,1730382026676577918,1331102082
1730382028017902500,1730382026686690153,1331212347
1730382028028247200,1730382026696799909,1331447291
1730382028038026200,1730382026706912501,1331113699
1730382028048767600,1730382026717024067,1331743533
1730382028058736300,1730382026727134354,1331601946
1730382028068970200,1730382026737244564,1331725636
1730382028078822100,1730382026747362375,1331459725
1730382028088743500,1730382026757516554,1331226946
1730382028099476700,1730382026767631044,1331845656
1730382028109157700,1730382026777744559,1331413141
1730382028119306200,1730382026787858039,1331448161
1730382028129640400,1730382026797971841,1331668559
1730382028139083000,1730382026808085296,1330997704
1730382028149516400,1730382026818198550,1331317850
1730382028159951100,1730382026828286858,1331664242
1730382028169710700,1730382026838404854,1331305846
1730382028179642300,1730382026848518352,1331123948
1730382028190466400,1730382026858632213,1331834187
1730382028200461400,1730382026868746388,1331715012
1730382028210459100,1730382026878860802,1331598298
1730382028220458400,1730382026888975154,1331483246
1730382028230652200,1730382026899088507,1331563693
1730382028240103600,1730382026909202562,1330901038
1730382028251124500,1730382026919315626,1331808874
1730382028260486600,1730382026929429153,1331057447
1730382028270796200,1730382026939547944,1331248256
1730382028281229000,1730382026949670865,1331558135
1730382028291562700,1730382026959782600,1331780100
1730382028301243800,1730382026969892827,1331350973
1730382028311037800,1730382026980003279,1331034521
1730382028321860200,1730382026990113012,1331747188
1730382028331744600,1730382027000223369,1331521231
1730382028341786000,1730382027010343488,1331442512
1730382028352325800,1730382027020458766,1331867034
1730382028361362800,1730382027030570147,1330792653
1730382028371689500,1730382027040696689,1330992811
1730382028382313400,1730382027050895540,1331417860
1730382028392977300,1730382027061153049,1331824251
1730382028403120500,1730382027071393485,1331727015
1730382028413115400,1730382027081584857,1331530543
1730382028423119200,1730382027091706713,1331412487
1730382028432630500,1730382027101825630,1330804870
1730382028442961200,1730382027111950958,1331010242
1730382028452964800,1730382027122062618,1330902182
1730382028462955400,1730382027132174144,1330781256
1730382028473395600,1730382027142288661,1331106939
1730382028483906600,1730382027152401511,1331505089
1730382028493907600,1730382027162513949,1331393651
